Wall time,Step,Value
1717112194.1795323,0,0.00010239451512461528
1717112244.391695,1,1.4153482830181474e-09
1717112294.8901992,2,4.2915269204968354e-07
1717112345.5066988,3,2.5636172722443007e-06
1717112395.6086326,4,1.298460574616911e-07
1717112446.733772,5,9.13435656002548e-08
1717112496.7228968,6,2.642257470597542e-07
1717112547.5492835,7,2.0319168925198028e-07
1717112598.632277,8,1.1754123363516555e-07
1717112651.727968,9,1.652312988653648e-07
1717112703.5497243,10,1.2014278638616815e-07
1717112754.8874433,11,1.302006324976901e-07
1717112805.7628474,12,3.506290369159615e-08
1717112855.930975,13,3.798586689640615e-08
1717112906.606801,14,1.3530193854194295e-08
1717112957.3752844,15,6.182755196704193e-09
1717113008.0806725,16,2.7689603943059637e-09
1717113058.5969448,17,8.039196530695847e-10
1717113109.4419782,18,6.235806870868998e-10
1717113161.1091478,19,2.904930962444041e-09
1717113213.2368593,20,2.1755139911761034e-08
1717113264.0711296,21,3.6977878536958997e-09
1717113315.2010708,22,6.507940408795321e-09
1717113366.3499591,23,1.5568888400707692e-08
1717113417.4417586,24,6.147205411366485e-09
1717113468.752522,25,1.470797972302762e-08
1717113519.4217448,26,7.054394401961872e-09
1717113570.3661788,27,1.0164610486640413e-08
1717113621.2397661,28,9.940281486819913e-09
1717113671.7023754,29,1.049619680060232e-08
1717113722.9083426,30,1.067091304207679e-08
1717113774.0893824,31,9.501563091873777e-09
1717113825.5478032,32,6.863218438013519e-09
1717113876.808519,33,1.4256873015483507e-08
1717113927.0742996,34,9.842436199392068e-09
1717113977.8223488,35,7.447743755051306e-09
1717114028.9668057,36,1.2912441782475526e-08
1717114080.0682847,37,4.553767141146636e-09
1717114131.0486026,38,1.4484623278576692e-08
1717114181.6104198,39,5.513008272117759e-09
1717114232.5209088,40,1.0918010495686303e-08
1717114283.428433,41,1.2713130992381139e-08
1717114334.3611934,42,6.55340581801056e-09
1717114385.3971343,43,9.277032475552005e-09
1717114436.1996026,44,1.038059416202941e-08
1717114487.101621,45,9.405373369020253e-09
1717114538.1730108,46,7.660282186350287e-09
1717114589.2854097,47,1.1459942328428951e-08
1717114640.6724408,48,9.064663686331187e-09
1717114691.291514,49,7.583183858628217e-09
1717114742.4390743,50,1.0385813986601988e-08
1717114793.211686,51,9.634899100774419e-09
1717114843.6740658,52,7.855040173865291e-09
1717114894.457824,53,1.071703170651972e-08
1717114945.311951,54,8.572089704728114e-09
1717114995.7722504,55,9.616863749783988e-09
1717115046.3327744,56,7.224030706964868e-09
1717115098.7557094,57,9.02925822998668e-09
1717115149.3912694,58,9.682837642799313e-09
1717115200.9135828,59,1.029417173725733e-08
1717115251.8708088,60,6.547674846757445e-09
1717115303.2444973,61,8.98385810188529e-09
1717115353.965394,62,9.129595746060204e-09
1717115405.5767746,63,6.396125407093223e-09
1717115456.3282936,64,1.0862391874866262e-08
1717115507.275633,65,7.48887174495394e-09
1717115558.255585,66,8.41426572861792e-09
1717115609.1780388,67,6.483503955934111e-09
1717115659.7235749,68,1.3204098259222974e-08
1717115710.3372796,69,4.819885823792447e-09
1717115761.4334946,70,8.862131473108548e-09
1717115811.933849,71,8.632827785959307e-09
1717115863.4072433,72,6.665946905570763e-09
